CPIJ801599	supercont3.1666:44514-46540 (+) 	CPIJ019404
CPIJ801863	supercont3.32:652450-653325 (+)  	CPIJ002427
CPIJ801864	supercont3.32:664597-667601 (+)  	CPIJ002429
CPIJ801876	supercont3.32:669078-669643 (-)  	CPIJ002430
CPIJ801865	supercont3.32:673026-673611 (+)  	CPIJ002431
CPIJ801875	supercont3.32:673626-674666 (-)  	CPIJ002432
CPIJ801872	supercont3.32:676858-678330 (-)  	CPIJ002434
CPIJ801871	supercont3.32:678777-685644 (-)  	CPIJ002435
CPIJ801870	supercont3.32:691112-692851 (-)  	CPIJ002436
CPIJ801869	supercont3.32:696702-710786 (-)  	CPIJ002437
CPIJ801866	supercont3.32:718640-719959 (+)  	CPIJ002439
CPIJ801867	supercont3.32:724660-727609 (+)  	CPIJ002440
CPIJ801868	supercont3.32:739459-746716 (+)  	CPIJ002441
CPIJ801881	supercont3.32:762079-763864 (-)  	CPIJ002442
CPIJ801879	supercont3.32:772807-784137 (+)  	CPIJ002443
CPIJ801880	supercont3.32:794242-795117 (+)  	CPIJ002444
CPIJ801882	supercont3.32:808581-829072 (-)  	CPIJ002445
CPIJ801828	supercont3.32:1044675-1048732 (-)  	CPIJ002448
CPIJ801821	supercont3.32:1049197-1049868 (+)  	CPIJ002449
CPIJ801829	supercont3.32:1051754-1058009 (-)  	CPIJ002450
CPIJ801822	supercont3.32:1058354-1059866 (+)  	CPIJ002451
CPIJ801830	supercont3.32:1059880-1061055 (-)  	CPIJ002452
CPIJ801823	supercont3.32:1066765-1067912 (+)  	CPIJ002453
CPIJ801824	supercont3.32:1073550-1074061 (+)  	CPIJ002454
CPIJ801834	supercont3.32:1076167-1076760 (-)  	CPIJ002455
CPIJ801833	supercont3.32:1083952-1087467 (-)  	CPIJ002457
CPIJ801832	supercont3.32:1090324-1094516 (-)  	CPIJ002458
CPIJ801831	supercont3.32:1100222-1107510 (-)  	CPIJ002459
CPIJ801835	supercont3.32:1109317-1112170 (-)  	CPIJ002460
CPIJ801825	supercont3.32:1190860-1192234 (+)  	CPIJ002463
CPIJ801826	supercont3.32:1192721-1193566 (+)  	CPIJ002464
CPIJ801837	supercont3.32:1193803-1210057 (-)  	CPIJ002465
CPIJ801827	supercont3.32:1241764-1246649 (+)  	CPIJ002466
CPIJ801839	supercont3.32:1269866-1284112 (-)  	CPIJ002469
CPIJ801838	supercont3.32:1286995-1288531 (+)  	CPIJ002470
CPIJ801842	supercont3.32:1288551-1290005 (-)  	NEW
CPIJ801845	supercont3.32:1332282-1370945 (-)  	CPIJ002472
CPIJ801846	supercont3.32:1394976-1395476 (-)  	NEW
CPIJ801843	supercont3.32:1395938-1396391 (+)  	NEW
CPIJ801847	supercont3.32:1397781-1398250 (-)  	NEW
CPIJ801848	supercont3.32:1409243-1414575 (-)  	CPIJ002477
CPIJ801844	supercont3.32:1491436-1492806 (+)  	CPIJ002479
CPIJ800240	supercont3.392:402930-405046 (+)  	CPIJ012470
CPIJ802474	supercont3.342:31019-31964 (+)  	CPIJ011510
CPIJ800092	supercont3.157:247707-249201 (+)  	CPIJ007333
CPIJ802256	supercont3.709:122932-136552 (-)  	CPIJ015654
CPIJ802255	supercont3.709:140485-144694 (-)  	CPIJ015655
CPIJ802254	supercont3.709:150053-153772 (-)  	CPIJ015656
CPIJ802572	supercont3.206:345694-347128 (-)  	CPIJ008778
CPIJ802576	supercont3.206:350681-352079 (-)  	CPIJ008779
CPIJ801749	supercont3.275:276733-278162 (+)  	CPIJ010649
CPIJ801748	supercont3.275:453517-466096 (+)  	CPIJ010652
CPIJ802437	supercont3.952:107366-108690 (+)  	CPIJ017605
CPIJ802438	supercont3.952:125001-145211 (-)  	CPIJ017606
CPIJ802134	supercont3.609:11527-12694 (-)  	CPIJ014732
CPIJ802129	supercont3.609:13134-17058 (+)  	CPIJ014733
CPIJ802135	supercont3.609:27215-28522 (-)  	CPIJ014735
CPIJ802130	supercont3.609:29710-32335 (+)  	CPIJ014736
CPIJ802131	supercont3.609:61161-62420 (+)  	CPIJ014741
CPIJ802136	supercont3.609:114982-116435 (-)  	CPIJ014745
CPIJ802132	supercont3.609:147162-166970 (+)  	CPIJ014746
CPIJ802137	supercont3.609:155994-157341 (-)  	CPIJ014747
CPIJ802133	supercont3.609:225073-227741 (+)  	CPIJ014751
CPIJ802218	supercont3.6:39883-41498 (-)    	CPIJ000658
CPIJ802219	supercont3.6:176269-178479 (-)  	CPIJ000661
CPIJ802216	supercont3.6:237718-260883 (-)  	CPIJ000662
CPIJ802228	supercont3.6:292469-297103 (-)  	CPIJ000665
CPIJ802220	supercont3.6:318198-322099 (+)  	CPIJ000668
CPIJ802231	supercont3.6:330449-331149 (-)  	CPIJ000669
CPIJ802221	supercont3.6:369550-372173 (+)  	CPIJ000670
CPIJ802232	supercont3.6:373376-375279 (-)  	CPIJ000671
CPIJ802222	supercont3.6:377697-381731 (+)  	NEW
CPIJ802233	supercont3.6:381845-384960 (-)  	CPIJ000672
CPIJ802223	supercont3.6:393526-396550 (+)  	CPIJ000673
CPIJ802224	supercont3.6:399783-405327 (+)  	CPIJ000674 
CPIJ802234	supercont3.6:405523-407269 (-)  	CPIJ000675 
CPIJ802235	supercont3.6:412384-420329 (-)  	CPIJ000676 
CPIJ802236	supercont3.6:438926-450098 (-)  	CPIJ000677 
CPIJ802225	supercont3.6:452735-456396 (+)  	CPIJ000678 
CPIJ802226	supercont3.6:460498-480037 (+)  	CPIJ000679
CPIJ802227	supercont3.6:494893-497761 (+)  	CPIJ000680
CPIJ802237	supercont3.6:670008-679801 (+)  	CPIJ000695
CPIJ800020	supercont3.6:1875171-1891699 (+)  	CPIJ000740
CPIJ800256	supercont3.313:58297-59811 (-)  	CPIJ011127
CPIJ800185	supercont3.313:99302-100846 (+)  	CPIJ011129
CPIJ800293	supercont3.281:301239-302820 (+)  	CPIJ010810
CPIJ800097	supercont3.292:377565-378500 (+)  	CPIJ010755
CPIJ800098	supercont3.292:378747-379682 (-)  	CPIJ010756
CPIJ800040	supercont3.354:415256-420870 (+)  	CPIJ012214
CPIJ801530	supercont3.131:358400-367306 (-)  	CPIJ006847
CPIJ801529	supercont3.131:401142-401708 (-)  	NEW
CPIJ800191	supercont3.66:742234-743774 (-)  	CPIJ004411
CPIJ802489	supercont3.259:304101-305139 (-)  	CPIJ009595
CPIJ801664	supercont3.259:512388-527314 (+)  	CPIJ009605
CPIJ801665	supercont3.259:534499-536183 (-)  	CPIJ009606
CPIJ802128	supercont3.604:64966-70267 (-)  	CPIJ015319
CPIJ802127	supercont3.604:86539-87705 (-)  	CPIJ015322
CPIJ802114	supercont3.604:90258-92250 (+)  	CPIJ015323
CPIJ802126	supercont3.604:92293-93756 (-)  	NEW
CPIJ802115	supercont3.604:94430-95760 (+)  	CPIJ015324
CPIJ802116	supercont3.604:102664-105133 (+) 	CPIJ015325
CPIJ802117	supercont3.604:117526-126499 (+)  	CPIJ015326
CPIJ802125	supercont3.604:128366-147012 (-)  	CPIJ015327
CPIJ802118	supercont3.604:147100-147951 (+) 	NEW 
CPIJ802119	supercont3.604:212227-213263 (+)  	CPIJ015332
CPIJ802120	supercont3.604:216490-217539 (+)  	CPIJ015333
CPIJ802121	supercont3.604:221023-224353 (+)  	CPIJ015334
CPIJ802122	supercont3.604:241448-243091 (+)  	CPIJ015335
CPIJ802112	supercont3.604:245238-252917 (-)  	CPIJ015336
CPIJ802593	supercont3.476:326322-327743 (-)  	CPIJ012980
CPIJ800058	supercont3.695:25244-26575 (-)  	CPIJ014983
CPIJ800063	supercont3.695:50184-51586 (-)  	CPIJ014987
CPIJ800061	supercont3.695:51614-53428 (-)  	CPIJ014988
CPIJ800067	supercont3.695:238769-240172 (+)  	CPIJ014990
CPIJ800163	supercont3.584:214731-220348 (-)  	CPIJ014939
CPIJ800165	supercont3.584:226830-228428 (-)  	CPIJ014941
CPIJ800166	supercont3.584:235675-237210 (-)  	CPIJ014942
CPIJ800167	supercont3.584:239965-241504 (-)  	CPIJ014943
CPIJ800155	supercont3.584:242544-252228 (-)  	CPIJ014944
CPIJ800023	supercont3.321:237769-239136 (-)  	CPIJ011305
CPIJ800265	supercont3.2:1564292-1566365 (-)  	CPIJ000293
CPIJ800264	supercont3.2:1566591-1568277 (-)  	CPIJ000294
CPIJ800205	supercont3.2:1605942-1607758 (+) 	CPIJ000298
CPIJ800206	supercont3.2:1607950-1613793 (+) 	CPIJ000299
CPIJ800110	supercont3.1200:86983-88641 (+)  	CPIJ018314
CPIJ801938	supercont3.376:20322-39387 (-)  	CPIJ012098
CPIJ801937	supercont3.376:229733-230416 (+)  	CPIJ012099
CPIJ802624	supercont3.648:153849-155202 (-)  	CPIJ015230
CPIJ802627	supercont3.648:155622-156984 (-)  	CPIJ015231
CPIJ802621	supercont3.648:163375-164800 (-)  	CPIJ015232
CPIJ802658	supercont3.1097:125991-127344 (+)  	CPIJ017867
CPIJ800053	supercont3.900:16701-18101 (+)  	NEW
CPIJ802441	supercont3.977:8797-16652 (+)   	CPIJ017330
CPIJ802440	supercont3.977:16830-17144 (+)  	CPIJ017331
CPIJ802443	supercont3.977:21540-21920 (-)  	CPIJ017332
CPIJ802439	supercont3.977:143710-147950 (+)  	CPIJ017337
CPIJ802583	supercont3.149:176622-177842 (-)  	CPIJ006870
CPIJ800203	supercont3.1792:11515-13143 (+)  	CPIJ019673
CPIJ802446	supercont3.990:59804-64730 (-)  	CPIJ017716
CPIJ802445	supercont3.990:77245-90982 (+)  	CPIJ017717
CPIJ802448	supercont3.990:102210-104469 (-)  	CPIJ017718
CPIJ802444	supercont3.990:104690-107652 (+)  	CPIJ017719
CPIJ802449	supercont3.990:130150-132010 (-)  	CPIJ017721
CPIJ802450	supercont3.990:134445-140791 (-)  	CPIJ017722
CPIJ801386	supercont3.1010:138373-140415 (-)  	CPIJ017779
CPIJ801799	supercont3.310:8205-17493 (+)   	CPIJ011310
CPIJ801798	supercont3.310:26319-34718 (+)  	CPIJ011311
CPIJ800153	supercont3.20:428204-436076 (+)  	CPIJ001380
CPIJ801939	supercont3.395:172840-298279 (+)  	CPIJ012613
CPIJ800076	supercont3.166:536600-536875 (-)  	CPIJ007454
CPIJ800093	supercont3.173:239032-239850 (-)  	CPIJ007673
CPIJ801958	supercont3.408:108027-147652 (+)  	CPIJ012100
CPIJ800154	supercont3.401:6644-33197 (+)   	CPIJ012685
CPIJ802477	supercont3.99:413605-415044 (-)  	CPIJ005661
CPIJ800286	supercont3.99:702430-704730 (-)  	CPIJ005683
CPIJ800290	supercont3.99:705133-706900 (+)  	CPIJ005684
CPIJ800291	supercont3.99:708411-710170 (-)  	CPIJ005685
CPIJ800262	supercont3.230:590510-592097 (-)  	CPIJ008936
CPIJ800258	supercont3.230:592531-594124 (+)  	CPIJ008937
CPIJ802238	supercont3.708:97991-100825 (+)  	CPIJ015908
CPIJ802244	supercont3.708:137107-140235 (-)  	CPIJ015909
CPIJ802245	supercont3.708:142489-145262 (-)  	CPIJ015910
CPIJ802239	supercont3.708:156972-185120 (+)  	CPIJ015911
CPIJ802246	supercont3.708:170544-179110 (-)  	CPIJ015912
CPIJ802247	supercont3.708:189367-190620 (-)  	CPIJ015913
CPIJ802249	supercont3.708:192511-192996 (-)  	CPIJ015914
CPIJ802248	supercont3.708:195879-197123 (-)  	CPIJ015915
CPIJ802240	supercont3.708:199682-200917 (+)  	CPIJ015916
CPIJ802241	supercont3.708:201291-202535 (+)  	CPIJ015917
CPIJ802242	supercont3.708:202762-204015 (+)  	CPIJ015918
CPIJ802250	supercont3.708:204127-205479 (-)  	CPIJ015919
CPIJ802251	supercont3.708:205963-207289 (-)  	CPIJ015920
CPIJ802252	supercont3.708:209053-210445 (-)  	CPIJ015921
CPIJ802243	supercont3.708:215371-223002 (+)  	CPIJ015922
CPIJ800183	supercont3.111:767114-768677 (-)  	CPIJ005900
CPIJ800243	supercont3.921:13824-30104 (+)  	CPIJ017351
CPIJ800152	supercont3.309:82402-92803 (+)  	CPIJ010826
CPIJ800297	supercont3.153:151221-162181 (+)  	CPIJ006950
CPIJ800298	supercont3.153:166714-168399 (+)  	CPIJ006952
CPIJ802553	supercont3.90:685783-686978 (+)  	CPIJ005105
CPIJ802558	supercont3.90:748556-749865 (+)  	CPIJ005110
CPIJ801718	supercont3.26:28295-29333 (+)   	CPIJ001852
CPIJ801719	supercont3.26:32494-32896 (+)   	CPIJ001853
CPIJ801726	supercont3.26:33467-40671 (-)   	CPIJ001854
CPIJ801725	supercont3.26:72129-72643 (-)   	CPIJ001855
CPIJ801716	supercont3.26:97776-104775 (+)  	CPIJ001858
CPIJ801724	supercont3.26:104888-117252 (-)  	CPIJ001859
CPIJ801723	supercont3.26:123026-133025 (-)  	CPIJ001860
CPIJ801722	supercont3.26:138071-147304 (-)  	CPIJ001861
CPIJ801721	supercont3.26:158293-162881 (-)  	CPIJ001862
CPIJ801710	supercont3.26:220863-221383 (+)  	CPIJ001865
CPIJ801708	supercont3.26:224303-224687 (+)  	NEW
CPIJ801707	supercont3.26:226275-226723 (+)  	CPIJ001867
CPIJ801709	supercont3.26:226902-227400 (+)  	CPIJ001868
CPIJ801711	supercont3.26:232747-233355 (+)  	CPIJ001869
CPIJ801712	supercont3.26:234093-234614 (+)  	CPIJ001870
CPIJ801713	supercont3.26:242975-243783 (+)  	CPIJ001871
CPIJ801714	supercont3.26:247521-248064 (+)  	CPIJ001872
CPIJ801715	supercont3.26:248382-249594 (+)  	CPIJ001873
CPIJ801728	supercont3.26:251539-251961 (+)  	NEW
CPIJ801729	supercont3.26:253862-254332 (+)  	CPIJ001875
CPIJ801730	supercont3.26:255519-259529 (+)  	CPIJ001876
CPIJ801727	supercont3.26:387449-394706 (+)  	CPIJ001878
CPIJ801734	supercont3.26:399876-405208 (-)  	CPIJ001879
CPIJ801731	supercont3.26:405363-407183 (+) 	CPIJ001880
CPIJ801735	supercont3.26:423991-424833 (-)  	CPIJ001883
CPIJ801733	supercont3.26:428352-447718 (+)  	CPIJ001884
CPIJ801736	supercont3.26:480135-482667 (-)  	CPIJ001885
CPIJ801737	supercont3.26:516080-517781 (+)  	CPIJ001886
CPIJ801738	supercont3.26:535604-536399 (+)  	CPIJ001887
CPIJ801739	supercont3.26:622883-628160 (+)  	CPIJ001888
CPIJ801741	supercont3.26:842223-848119 (+)  	CPIJ001891
CPIJ801742	supercont3.26:856008-857467 (+)  	CPIJ001892
CPIJ801747	supercont3.26:863099-864319 (-)  	CPIJ001893
CPIJ801743	supercont3.26:868124-875419 (+)  	CPIJ001894
CPIJ801746	supercont3.26:881533-883611 (-)  	CPIJ001895
CPIJ801744	supercont3.26:907173-982121 (+) 	CPIJ001896
CPIJ801745	supercont3.26:995283-996316 (+)  	CPIJ001897
CPIJ801690	supercont3.26:1003052-1004262 (+)  	CPIJ001898
CPIJ801694	supercont3.26:1055703-1056758 (-)  	CPIJ001899
CPIJ801692	supercont3.26:1107862-1111779 (+)  	CPIJ001901
CPIJ801695	supercont3.26:1116928-1126724 (-)  	CPIJ001903
CPIJ801693	supercont3.26:1127831-1128610 (+)  	CPIJ001904
CPIJ801699	supercont3.26:1437293-1441812 (+)  	CPIJ001909
CPIJ801698	supercont3.26:1453945-1462215 (+)  	CPIJ001911
CPIJ801702	supercont3.26:1462303-1462491 (-)  	NEW
CPIJ801701	supercont3.26:1462496-1462806 (-)  	CPIJ001912
CPIJ801697	supercont3.26:1466871-1468005 (+)  	CPIJ001914
CPIJ801703	supercont3.26:1468091-1469659 (-)  	CPIJ001915
CPIJ801696	supercont3.26:1471163-1477178 (+)  	CPIJ001916
CPIJ801704	supercont3.26:1579150-1583493 (+)  	CPIJ001917
CPIJ801705	supercont3.26:1617394-1618300 (+)  	CPIJ001918
CPIJ801706	supercont3.26:1643433-1650169 (+)  	CPIJ001919
CPIJ802589	supercont3.228:30150-31673 (+)  	CPIJ009069
CPIJ802587	supercont3.228:79336-80741 (+)  	CPIJ009072
CPIJ802562	supercont3.228:85622-86993 (+)  	CPIJ009073
CPIJ800201	supercont3.228:584415-586038 (+)  	CPIJ009085
CPIJ800245	supercont3.1387:47490-55106 (+)  	CPIJ018943
CPIJ800244	supercont3.1387:63140-75696 (+)  	CPIJ018944
CPIJ800112	supercont3.1618:44685-49432 (+)  	CPIJ018802
CPIJ800025	supercont3.895:60583-61972 (+)  	CPIJ017148
CPIJ800268	supercont3.580:6504-8012 (+)    	CPIJ014579
CPIJ801959	supercont3.411:21355-22174 (+)  	CPIJ012790
CPIJ801969	supercont3.411:34850-36779 (-)  	CPIJ012791
CPIJ801960	supercont3.411:59080-60524 (+)  	CPIJ012792
CPIJ801968	supercont3.411:73332-73763 (-)  	NEW
CPIJ801967	supercont3.411:82207-82688 (-)  	NEW
CPIJ801966	supercont3.411:124515-125851 (-)  	CPIJ012793
CPIJ801961	supercont3.411:147891-162029 (+)  	CPIJ012794
CPIJ801965	supercont3.411:163854-168603 (-)  	CPIJ012795
CPIJ801964	supercont3.411:170469-171872 (-)  	CPIJ012796
CPIJ801963	supercont3.411:179258-181715 (-)  	CPIJ012797
CPIJ801962	supercont3.411:223925-224516 (-)  	CPIJ012798
CPIJ801970	supercont3.411:386124-396368 (+) 	CPIJ012799
CPIJ800069	supercont3.1480:13698-14162 (+)  	NEW
CPIJ800114	supercont3.1480:20413-20904 (+)  	CPIJ019043
CPIJ800116	supercont3.1480:69744-70217 (+)  	NEW
CPIJ802471	supercont3.421:191692-194140 (+)  	CPIJ012894
CPIJ802499	supercont3.421:199916-201439 (-)  	CPIJ012895
CPIJ802476	supercont3.421:207642-208925 (-)  	CPIJ012896
CPIJ802498	supercont3.421:262014-263592 (+) 	CPIJ012900
CPIJ800209	supercont3.104:237688-239261 (+)  	CPIJ005952
CPIJ800208	supercont3.104:239672-241247 (+)  	CPIJ005953
CPIJ800217	supercont3.104:241499-242974 (+)  	CPIJ005954
CPIJ800186	supercont3.104:243315-244912 (+)  	CPIJ005955
CPIJ800216	supercont3.104:245250-246820 (+)  	CPIJ005956
CPIJ800196	supercont3.104:247706-249438 (+)  	CPIJ005957
CPIJ800194	supercont3.104:252489-254077 (+)  	CPIJ005959
CPIJ800177	supercont3.2060:9594-11149 (-)  	CPIJ019700
CPIJ800178	supercont3.2060:15675-17227 (+)  	CPIJ019702
CPIJ800117	supercont3.836:113955-114479 (+) 	CPIJ016928
CPIJ801785	supercont3.296:124890-125057 (+) 	CPIJ010482
CPIJ801787	supercont3.296:171745-172306 (-)  	CPIJ010483
CPIJ801786	supercont3.296:180547-209484 (-)  	CPIJ010484
CPIJ801789	supercont3.296:332550-335172 (+)  	CPIJ010486
CPIJ801794	supercont3.296:337883-338962 (-)  	CPIJ010487
CPIJ801790	supercont3.296:344479-352374 (+)  	CPIJ010488
CPIJ801795	supercont3.296:365529-374485 (-)  	CPIJ010491
CPIJ801792	supercont3.296:376773-377446 (+) 	CPIJ010492
CPIJ801793	supercont3.296:428615-456588 (+)  	CPIJ010493
CPIJ801796	supercont3.296:488517-490401 (-)  	CPIJ010495
CPIJ802213	supercont3.69:119338-133352 (-)  	CPIJ004611
CPIJ802212	supercont3.69:150090-150560 (+)  	CPIJ004612
CPIJ802208	supercont3.69:160749-179354 (+)  	CPIJ004613
CPIJ802209	supercont3.69:196299-198156 (+)  	CPIJ004614
CPIJ802214	supercont3.69:200702-217223 (-)  	CPIJ004615
CPIJ802210	supercont3.69:223220-225459 (+)  	CPIJ004616
CPIJ802211	supercont3.69:226436-228150 (+)  	CPIJ004617
CPIJ802679	supercont3.2694:11280-12635 (+)  	NEW
CPIJ801757	supercont3.279:92637-95548 (+)  	CPIJ010215
CPIJ801758	supercont3.279:164880-166548 (+)  	CPIJ010218
CPIJ800150	supercont3.279:512575-514611 (+)  	CPIJ010225
CPIJ800149	supercont3.279:518857-520902 (+)  	CPIJ010227
CPIJ800148	supercont3.279:522190-523914 (-)  	CPIJ010228
CPIJ800147	supercont3.279:525245-526977 (-)  	CPIJ010229
CPIJ800146	supercont3.279:527271-529009 (-)  	CPIJ010230
CPIJ800145	supercont3.279:529206-531135 (-)  	CPIJ010231
CPIJ802486	supercont3.77:90465-92043 (+)   	CPIJ004924
CPIJ802478	supercont3.758:94232-95480 (-)  	CPIJ016345
CPIJ800157	supercont3.215:229550-245973 (+)  	CPIJ009170
CPIJ800272	supercont3.730:54216-58516 (-)  	CPIJ015954
CPIJ800271	supercont3.730:91291-92980 (+)  	CPIJ015957
CPIJ800292	supercont3.730:95297-97020 (+)  	CPIJ015958
CPIJ800299	supercont3.730:99365-102376 (+)  	CPIJ015959
CPIJ800294	supercont3.730:103006-104618 (+)  	CPIJ015960
CPIJ800295	supercont3.730:107760-112190 (+)  	CPIJ015961
CPIJ801641	supercont3.224:42803-85586 (-)  	CPIJ009355
CPIJ801639	supercont3.224:98404-130033 (+)  	CPIJ009356
CPIJ801642	supercont3.224:280189-292314 (+)  	CPIJ009358
CPIJ801652	supercont3.224:292484-293174 (-)  	CPIJ009359
CPIJ801651	supercont3.224:296592-297458 (-)  	CPIJ009360
CPIJ801650	supercont3.224:302736-303444 (-)  	NEW
CPIJ801649	supercont3.224:313288-314493 (-)  	CPIJ009361
CPIJ801648	supercont3.224:320331-346665 (-)  	CPIJ009362
CPIJ801643	supercont3.224:354292-356378 (+)  	CPIJ009363
CPIJ801647	supercont3.224:363182-364303 (-)  	CPIJ009364
CPIJ801644	supercont3.224:370721-372436 (+)  	CPIJ009365
CPIJ801653	supercont3.224:433336-435154 (-)  	CPIJ009368
CPIJ801645	supercont3.224:444236-454395 (+)  	CPIJ009369
CPIJ801646	supercont3.224:459144-472321 (-)  	CPIJ009370
CPIJ802603	supercont3.416:257979-259469 (+)  	CPIJ012951
CPIJ802595	supercont3.416:262928-269192 (+)  	CPIJ012952
CPIJ800041	supercont3.322:286764-298799 (-)  	NEW
CPIJ800173	supercont3.661:24185-25711 (-)  	CPIJ015223
CPIJ800172	supercont3.332:289596-291122 (+)  	CPIJ010858
CPIJ802591	supercont3.314:399562-400883 (+)  	CPIJ010906
CPIJ801457	supercont3.128:512597-519856 (+)  	CPIJ006427
CPIJ801458	supercont3.128:527420-533521 (+)  	CPIJ006428
CPIJ801462	supercont3.128:548562-549927 (+)  	CPIJ006429
CPIJ801463	supercont3.128:571446-582096 (+)  	CPIJ006430
CPIJ801465	supercont3.128:590690-615723 (-)  	CPIJ006431
CPIJ801459	supercont3.128:619703-620908 (+)  	CPIJ006432
CPIJ801460	supercont3.128:621962-636579 (+)  	CPIJ006433
CPIJ801461	supercont3.128:643289-645059 (+)  	CPIJ006434
CPIJ801466	supercont3.128:645186-645841 (-)  	CPIJ006435
CPIJ801467	supercont3.128:665713-666373 (-)  	CPIJ006436
CPIJ801464	supercont3.128:738015-739288 (+)  	CPIJ006438
CPIJ800088	supercont3.102:128290-128572 (+)  	CPIJ005370
CPIJ802531	supercont3.102:257912-261777 (+)  	CPIJ005374
CPIJ800059	supercont3.926:180611-181873 (+)  	CPIJ016484
CPIJ800066	supercont3.926:195493-196847 (-)  	CPIJ016486
CPIJ800064	supercont3.926:196912-198227 (-)  	CPIJ016487
CPIJ800062	supercont3.926:198323-200136 (-)  	CPIJ016488
CPIJ802550	supercont3.81:885520-886934 (+)  	CPIJ004987
CPIJ802555	supercont3.81:891642-893054 (+)  	CPIJ004988
CPIJ802620	supercont3.916:46053-47408 (-)  	NEW
CPIJ800077	supercont3.192:274177-274424 (-)  	NEW
CPIJ802483	supercont3.45:329101-331108 (+)  	CPIJ002973
CPIJ802482	supercont3.45:346242-348131 (+)  	CPIJ002975
CPIJ802634	supercont3.731:211031-212251 (+)  	NEW
CPIJ802585	supercont3.118:706261-707681 (-)  	CPIJ006217
CPIJ802549	supercont3.113:533070-534394 (-)  	CPIJ005921
CPIJ802581	supercont3.113:535261-536987 (+)  	CPIJ005922
CPIJ802580	supercont3.113:538002-539384 (+)  	CPIJ005923
CPIJ800231	supercont3.39:61894-63562 (+)   	CPIJ003082
CPIJ801941	supercont3.39:180041-181597 (+)  	CPIJ003088
CPIJ801946	supercont3.39:181642-182501 (-)  	CPIJ003089
CPIJ801945	supercont3.39:186388-194592 (-)  	CPIJ003090
CPIJ801940	supercont3.39:208311-222122 (+)  	CPIJ003093
CPIJ801944	supercont3.39:237560-238532 (-)  	CPIJ003094
CPIJ801943	supercont3.39:238658-241921 (-)  	CPIJ003095
CPIJ801952	supercont3.39:263128-278084 (-)  	CPIJ003096
CPIJ801953	supercont3.39:282969-284165 (-)  	CPIJ003097
CPIJ801947	supercont3.39:289052-291551 (+)  	CPIJ003098
CPIJ801948	supercont3.39:291694-292368 (+)  	CPIJ003099
CPIJ801949	supercont3.39:303623-306600 (+)  	CPIJ003100
CPIJ801954	supercont3.39:314491-319111 (-)  	CPIJ003101
CPIJ801955	supercont3.39:328656-330707 (-)  	CPIJ003102
CPIJ801956	supercont3.39:344666-346355 (-)  	CPIJ003103
CPIJ801950	supercont3.39:376518-377852 (+)  	CPIJ003105
CPIJ801957	supercont3.39:377971-386079 (-)  	CPIJ003106
CPIJ802530	supercont3.88:126609-127988 (-)  	CPIJ005396
CPIJ802532	supercont3.88:155976-159563 (+)  	CPIJ005399
CPIJ802542	supercont3.88:159856-161236 (+)  	CPIJ005400
CPIJ800084	supercont3.38:351173-352888 (-)  	CPIJ003053
CPIJ800288	supercont3.581:234643-237019 (-)  	CPIJ014730
CPIJ802632	supercont3.911:146967-148426 (+)  	CPIJ017422
CPIJ800068	supercont3.2921:542-1925 (-)    	CPIJ020301
CPIJ800047	supercont3.61:130272-131699 (-)  	NEW
CPIJ800300	supercont3.240:177348-178989 (-)  	CPIJ009569
CPIJ800302	supercont3.240:180532-182262 (-)  	CPIJ009570
CPIJ802596	supercont3.240:424930-426467 (+)  	CPIJ009579
CPIJ801623	supercont3.203:318160-326398 (-)  	CPIJ008811
CPIJ802166	supercont3.68:42772-54535 (-)   	CPIJ004329
CPIJ802160	supercont3.68:66762-68508 (+)   	CPIJ004331
CPIJ802163	supercont3.68:72061-73343 (-)   	CPIJ004332
CPIJ802159	supercont3.68:76308-86209 (+)   	CPIJ004333
CPIJ802167	supercont3.68:311034-317641 (+)  	CPIJ004338
CPIJ802168	supercont3.68:324969-325445 (+)  	CPIJ004339
CPIJ802182	supercont3.68:330160-331082 (-)  	CPIJ004340
CPIJ802169	supercont3.68:340604-350435 (+)  	CPIJ004341
CPIJ802170	supercont3.68:366819-372645 (+)  	CPIJ004342
CPIJ802171	supercont3.68:385382-389415 (+)  	CPIJ004343
CPIJ802172	supercont3.68:394803-395892 (+)  	CPIJ004344
CPIJ802173	supercont3.68:399607-400641 (+)  	CPIJ004345
CPIJ802183	supercont3.68:401143-401737 (-)  	CPIJ004346
CPIJ802174	supercont3.68:408027-413852 (+)  	CPIJ004347
CPIJ802175	supercont3.68:419394-424624 (+)  	CPIJ004348
CPIJ802176	supercont3.68:432894-434869 (+)  	CPIJ004351
CPIJ802181	supercont3.68:459575-460410 (-)  	CPIJ004353
CPIJ802179	supercont3.68:460631-463060 (+)  	CPIJ004354
CPIJ802178	supercont3.68:463845-466489 (+)  	CPIJ004355
CPIJ802180	supercont3.68:477502-484828 (-)  	CPIJ004356
CPIJ802184	supercont3.68:629336-638405 (+)  	CPIJ004357
CPIJ802188	supercont3.68:643116-671257 (-)  	CPIJ004358
CPIJ802189	supercont3.68:675399-676560 (-)  	CPIJ004359
CPIJ802185	supercont3.68:677889-681352 (+)  	NEW
CPIJ802190	supercont3.68:687044-701313 (-) 	CPIJ004361 
CPIJ802186	supercont3.68:722058-722548 (+) 	CPIJ004362 
CPIJ802187	supercont3.68:739328-747249 (+) 	CPIJ004365 
CPIJ802197	supercont3.68:753457-764707 (-) 	CPIJ004366 
