AaegL1.1	AaedL1.2	Change
AAEL003539 AAEL003539 unchanged
AAEL003540 AAEL003540 unchanged
AAEL003541 AAEL003541 unchanged
AAEL003542 AAEL003542 unchanged
AAEL003543 AAEL003543 unchanged
AAEL003544 AAEL003544 unchanged
AAEL003545 AAEL003545 unchanged
AAEL003546 AAEL003546 unchanged
AAEL003547 AAEL003547 unchanged
AAEL003548 AAEL003548 unchanged
AAEL003549 AAEL003549 unchanged
AAEL003550 AAEL003550 unchanged
AAEL003551 AAEL003551 unchanged
AAEL003552 AAEL003552 unchanged
AAEL003553 AAEL003553 unchanged
AAEL003554 AAEL003554 unchanged
AAEL003555 AAEL003555 unchanged
AAEL003556 AAEL003556 unchanged
AAEL003557 AAEL003557 unchanged
AAEL003558 AAEL003558 unchanged
AAEL003559 AAEL003559 unchanged
AAEL003560 AAEL003560 unchanged
AAEL003561 AAEL003561 unchanged
AAEL003562 AAEL003562 unchanged
AAEL003563 AAEL003563 unchanged
AAEL003564 AAEL003564 unchanged
AAEL003565 AAEL003565 unchanged
AAEL003566 AAEL003566 unchanged
AAEL003567 AAEL003567 unchanged
AAEL003568 AAEL003568 unchanged
AAEL003569 AAEL003569 unchanged
AAEL003570 AAEL003570 unchanged
AAEL003571 AAEL003571 unchanged
AAEL003572 AAEL003572 unchanged
AAEL003573 AAEL003573 unchanged
AAEL003574 AAEL003574 unchanged
AAEL003575 AAEL003575 unchanged
AAEL003576 AAEL003576 unchanged
AAEL003577 AAEL003577 unchanged
AAEL003578 AAEL003578 unchanged
AAEL003579 AAEL003579 unchanged
AAEL003580 AAEL003580 unchanged
AAEL003581 AAEL003581 changed
AAEL003582 AAEL003582 unchanged
AAEL003583 AAEL003583 unchanged
AAEL003584 AAEL003584 unchanged
AAEL003585 AAEL003585 unchanged
AAEL003586 AAEL003586 unchanged
AAEL003587 AAEL003587 unchanged
AAEL003588 AAEL003588 unchanged
AAEL003589 AAEL003589 unchanged
AAEL003590 AAEL003590 unchanged
AAEL003591 AAEL003591 unchanged
AAEL003592 AAEL003592 unchanged
AAEL003593 AAEL003593 unchanged
AAEL003594 AAEL003594 unchanged
AAEL003595 AAEL003595 unchanged
AAEL003596 AAEL003596 unchanged
AAEL003597 AAEL003597 unchanged
AAEL003598 AAEL003598 unchanged
AAEL003599 AAEL003599 unchanged
AAEL003600 AAEL003600 unchanged
AAEL003601 AAEL003601 unchanged
AAEL003602 AAEL003602 unchanged
AAEL003603 AAEL003603 unchanged
AAEL003604 AAEL003604 unchanged
AAEL003605 AAEL003605 unchanged
AAEL003606 AAEL003606 unchanged
AAEL003607 AAEL003607 unchanged
AAEL003608 AAEL003608 unchanged
AAEL003609 AAEL003609 unchanged
AAEL003610 AAEL003610 unchanged
AAEL003611 AAEL003611 unchanged
AAEL003612 AAEL003612 unchanged
AAEL003613 AAEL003613 unchanged
AAEL003614 AAEL003614 changed
AAEL003615 AAEL003615 unchanged
AAEL003616 AAEL003616 unchanged
AAEL003617 AAEL003617 unchanged
AAEL003618 AAEL003618 unchanged
AAEL003619 AAEL003619 unchanged
AAEL003620 AAEL003620 unchanged
AAEL003621 AAEL003621 unchanged
AAEL003622 AAEL003622 unchanged
AAEL003623 AAEL003623 unchanged
AAEL003624 AAEL003624 unchanged
AAEL003625 AAEL003625 changed
AAEL003626 AAEL003626 unchanged
AAEL003627 AAEL003627 unchanged
AAEL003628 AAEL003628 changed
AAEL003629 AAEL003629 changed
AAEL003630 AAEL003630 unchanged
AAEL003631 AAEL003631 changed
AAEL003632 AAEL003632 changed
AAEL003633 AAEL003633 unchanged
AAEL003634 AAEL003634 unchanged
AAEL003635 AAEL003635 unchanged
AAEL003636 AAEL003636 unchanged
AAEL003637 AAEL003637 unchanged
AAEL003638 AAEL003638 unchanged
AAEL003639 AAEL003639 unchanged
AAEL003640 AAEL003640 unchanged
AAEL003641 AAEL003641 unchanged
AAEL003642 AAEL003642 unchanged
AAEL003643 AAEL003643 unchanged
AAEL003644 AAEL003644 unchanged
AAEL003645 AAEL003645 unchanged
AAEL003646 AAEL003646 unchanged
AAEL003647 AAEL003647 changed
AAEL003648 AAEL003648 unchanged
AAEL003649 AAEL003649 unchanged
AAEL003650 AAEL003650 unchanged
AAEL003651 AAEL003651 unchanged
AAEL003652 AAEL003652 unchanged
AAEL003653 AAEL003653 changed
AAEL003654 AAEL003654 unchanged
AAEL003655 AAEL003655 unchanged
AAEL003656 AAEL003656 unchanged
AAEL003657 AAEL003657 unchanged
AAEL003658 AAEL003658 unchanged
AAEL003659 AAEL003659 unchanged
AAEL003660 AAEL003660 unchanged
AAEL003661 AAEL003661 unchanged
AAEL003662 AAEL003662 unchanged
AAEL003663 AAEL003663 unchanged
AAEL003664 AAEL003664 unchanged
AAEL003665 AAEL003665 unchanged
AAEL003666 AAEL003666 unchanged
AAEL003667 AAEL003667 changed
AAEL003668 AAEL003668 unchanged
AAEL003669 AAEL003669 unchanged
AAEL003670 AAEL003670 unchanged
AAEL003671 AAEL003671 unchanged
AAEL003672 AAEL003672 unchanged
AAEL003673 AAEL003673 unchanged
AAEL003674 AAEL003674 unchanged
AAEL003675 AAEL003675 changed
AAEL003676 AAEL003676 unchanged
AAEL003677 AAEL003677 unchanged
AAEL003678 AAEL003678 unchanged
AAEL003679 AAEL003679 unchanged
AAEL003680 AAEL003680 unchanged
AAEL003681 AAEL003681 unchanged
AAEL003682 AAEL003682 unchanged
AAEL003683 AAEL003683 unchanged
AAEL003684 AAEL003684 unchanged
AAEL003685 AAEL003685 unchanged
AAEL003686 AAEL003686 changed
AAEL003687 AAEL003687 unchanged
AAEL003688 AAEL003688 unchanged
AAEL003689 AAEL003689 unchanged
AAEL003690 AAEL003690 unchanged
AAEL003691 AAEL003691 unchanged
AAEL003692 AAEL003692 unchanged
AAEL003693 AAEL003693 unchanged
AAEL003694 AAEL003694 unchanged
AAEL003695 AAEL003695 unchanged
AAEL003696 AAEL003696 unchanged
AAEL003697 AAEL003697 changed
AAEL003698 AAEL003698 unchanged
AAEL003699 AAEL003699 unchanged
AAEL003700 AAEL003700 unchanged
AAEL003701 AAEL003701 unchanged
AAEL003702 AAEL003702 unchanged
AAEL003703 AAEL003703 unchanged
AAEL003704 AAEL003704 unchanged
AAEL003705 AAEL003705 unchanged
AAEL003706 AAEL003706 unchanged
AAEL003707 AAEL003707 unchanged
AAEL003708 AAEL003708 unchanged
AAEL003709 AAEL003709 unchanged
AAEL003710 AAEL003710 unchanged
AAEL003711 AAEL003711 unchanged
AAEL003712 AAEL003712 changed
AAEL003713 AAEL003713 unchanged
AAEL003714 AAEL003714 unchanged
AAEL003715 AAEL003715 unchanged
AAEL003716 AAEL003716 changed
AAEL003717 AAEL003717 unchanged
AAEL003718 AAEL003718 unchanged
AAEL003719 AAEL003719 unchanged
AAEL003720 AAEL003720 unchanged
AAEL003721 AAEL003721 unchanged
AAEL003722 AAEL003722 unchanged
AAEL003723 AAEL003723 changed
AAEL003724 AAEL003724 unchanged
AAEL003725 AAEL003725 unchanged
AAEL003726 AAEL003726 unchanged
AAEL003727 AAEL003727 unchanged
AAEL003728 AAEL003728 unchanged
AAEL003729 AAEL003729 changed
AAEL003730 AAEL003730 unchanged
AAEL003731 AAEL003731 unchanged
AAEL003732 AAEL003732 unchanged
AAEL003733 AAEL003733 unchanged
AAEL003734 AAEL003734 unchanged
AAEL003735 AAEL003735 unchanged
AAEL003736 AAEL003736 unchanged
AAEL003737 AAEL003737 unchanged
AAEL003738 AAEL003738 unchanged
AAEL003739 AAEL003739 unchanged
AAEL003740 AAEL003740 unchanged
AAEL003741 AAEL003741 unchanged
AAEL003742 AAEL003742 unchanged
AAEL003743 AAEL003743 unchanged
AAEL003744 AAEL003744 unchanged
AAEL003745 AAEL003745 unchanged
AAEL003746 AAEL003746 unchanged
AAEL003747 AAEL003747 changed
AAEL003748 AAEL003748 unchanged
AAEL003749 AAEL003749 unchanged
AAEL003750 AAEL003750 unchanged
AAEL003751 AAEL003751 unchanged
AAEL003752 AAEL003752 unchanged
AAEL003753 AAEL003753 unchanged
AAEL003754 AAEL003754 changed
AAEL003755 AAEL003755 unchanged
AAEL003756 AAEL003756 unchanged
AAEL003757 AAEL003757 unchanged
AAEL003758 AAEL003758 unchanged
AAEL003759 AAEL003759 unchanged
AAEL003760 AAEL003760 unchanged
AAEL003761 AAEL003761 unchanged
AAEL003762 AAEL003762 unchanged
AAEL003763 AAEL003763 changed
AAEL003764 AAEL003764 unchanged
AAEL003765 AAEL003765 unchanged
AAEL003766 AAEL003766 unchanged
AAEL003767 AAEL003767 unchanged
AAEL003768 AAEL003768 unchanged
AAEL003769 AAEL003769 unchanged
AAEL003770 AAEL003770 unchanged
AAEL003771 AAEL003771 unchanged
AAEL003772 AAEL003772 unchanged
AAEL003773 AAEL003773 unchanged
AAEL003774 AAEL003774 unchanged
AAEL003775 AAEL003775 unchanged
AAEL003776 AAEL003776 unchanged
AAEL003777 AAEL003777 unchanged
AAEL003778 AAEL003778 unchanged
AAEL003779 AAEL003779 unchanged
AAEL003780 AAEL003780 unchanged
AAEL003781 AAEL003781 changed
AAEL003782 AAEL003782 unchanged
AAEL003783 AAEL003783 unchanged
AAEL003784 AAEL003784 unchanged
AAEL003785 AAEL003785 unchanged
AAEL003786 AAEL003786 unchanged
AAEL003787 AAEL003787 unchanged
AAEL003788 AAEL003788 unchanged
AAEL003789 AAEL003789 unchanged
AAEL003790 AAEL003790 unchanged
AAEL003791 AAEL003791 unchanged
AAEL003792 AAEL003792 unchanged
AAEL003793 AAEL003793 unchanged
AAEL003794 AAEL003794 unchanged
AAEL003795 AAEL003795 unchanged
AAEL003796 AAEL003796 unchanged
AAEL003797 AAEL003797 unchanged
AAEL003798 AAEL003798 unchanged
AAEL003799 AAEL003799 unchanged
AAEL003800 AAEL003800 unchanged
AAEL003801 AAEL003801 unchanged
AAEL003802 AAEL003802 unchanged
AAEL003803 AAEL003803 unchanged
AAEL003804 AAEL003804 unchanged
AAEL003805 AAEL003805 unchanged
AAEL003806 AAEL003806 unchanged
AAEL003807 AAEL003807 unchanged
AAEL003808 AAEL003808 unchanged
AAEL003809 AAEL003809 unchanged
AAEL003810 AAEL003810 unchanged
AAEL003811 AAEL003811 unchanged
AAEL003812 AAEL003812 unchanged
AAEL003813 AAEL003813 unchanged
AAEL003814 AAEL003814 unchanged
AAEL003815 AAEL003815 unchanged
AAEL003816 AAEL003816 changed
AAEL003817 AAEL003817 unchanged
AAEL003818 AAEL003818 unchanged
AAEL003819 AAEL003819 unchanged
AAEL003820 AAEL003820 unchanged
AAEL003821 AAEL003821 unchanged
AAEL003822 AAEL003822 unchanged
AAEL003823 AAEL003823 unchanged
AAEL003824 AAEL003824 unchanged
AAEL003825 AAEL003825 unchanged
AAEL003826 AAEL003826 unchanged
AAEL003827 AAEL003827 unchanged
AAEL003828 AAEL003828 unchanged
AAEL003829 AAEL003829 unchanged
AAEL003830 AAEL003830 unchanged
AAEL003831 AAEL003831 unchanged
AAEL003832 AAEL003832 changed
AAEL003833 AAEL003833 unchanged
AAEL003834 AAEL003834 unchanged
AAEL003835 AAEL003835 changed
AAEL003836 AAEL003836 unchanged
AAEL003837 AAEL003837 unchanged
AAEL003838 AAEL003838 unchanged
AAEL003839 AAEL003839 unchanged
AAEL003840 AAEL003840 changed
AAEL003841 AAEL003841 changed
AAEL003841 AAEL003857 changed
AAEL003842 AAEL003842 unchanged
AAEL003843 AAEL003843 unchanged
AAEL003844 AAEL003844 changed
AAEL003845 AAEL003845 unchanged
AAEL003846 AAEL003846 unchanged
AAEL003847 AAEL003847 unchanged
AAEL003848 AAEL003848 unchanged
AAEL003849 AAEL003849 changed
AAEL003850 AAEL003850 unchanged
AAEL003851 AAEL003851 unchanged
AAEL003852 AAEL003852 unchanged
AAEL003853 AAEL003853 unchanged
AAEL003854 AAEL003854 unchanged
AAEL003855 AAEL003855 unchanged
AAEL003856 AAEL003856 unchanged
AAEL003857 AAEL003857 changed
AAEL003858 AAEL003858 unchanged
AAEL003859 AAEL003859 unchanged
AAEL003860 AAEL003860 unchanged
AAEL003861 AAEL003861 unchanged
AAEL003862 AAEL003862 unchanged
AAEL003863 AAEL003863 unchanged
AAEL003864 AAEL003864 unchanged
AAEL003865 AAEL003865 unchanged
AAEL003866 AAEL003866 unchanged
AAEL003867 AAEL003867 unchanged
AAEL003868 AAEL003868 unchanged
AAEL003869 AAEL003869 unchanged
AAEL003870 AAEL003870 unchanged
AAEL003871 AAEL003871 unchanged
AAEL003872 AAEL003872 unchanged
AAEL003873 AAEL003873 unchanged
AAEL003874 AAEL003874 unchanged
AAEL003875 AAEL003875 unchanged
AAEL003876 AAEL003876 unchanged
AAEL003877 AAEL003877 unchanged
AAEL003878 AAEL003878 unchanged
AAEL003879 AAEL003879 unchanged
AAEL003880 AAEL003880 unchanged
AAEL003881 AAEL003881 unchanged
AAEL003882 AAEL003882 unchanged
AAEL003883 AAEL003883 unchanged
AAEL003884 AAEL003884 unchanged
AAEL003885 AAEL003885 unchanged
AAEL003886 AAEL003886 unchanged
AAEL003887 AAEL003887 unchanged
AAEL003888 AAEL003888 unchanged
AAEL003889 AAEL003889 changed
AAEL003890 AAEL003890 unchanged
AAEL003891 AAEL003891 unchanged
AAEL003892 AAEL003892 unchanged
AAEL003893 AAEL003893 unchanged
AAEL003894 AAEL003894 unchanged
AAEL003895 AAEL003895 unchanged
AAEL003896 AAEL003896 unchanged
AAEL003897 AAEL003897 unchanged
AAEL003898 AAEL003898 unchanged
AAEL003899 AAEL003899 unchanged
AAEL003900 AAEL003900 unchanged
AAEL003901 AAEL003901 unchanged
AAEL003902 NULL deleted
AAEL003903 AAEL003903 unchanged
AAEL003904 AAEL003904 unchanged
AAEL003905 AAEL003905 unchanged
AAEL003906 AAEL003906 unchanged
AAEL003907 AAEL003907 unchanged
AAEL003908 AAEL003908 unchanged
AAEL003909 AAEL003909 unchanged
AAEL003910 AAEL003910 unchanged
AAEL003911 AAEL003911 unchanged
AAEL003912 AAEL003912 unchanged
AAEL003913 AAEL003913 unchanged
AAEL003914 AAEL003914 unchanged
AAEL003915 AAEL003915 unchanged
AAEL003916 AAEL003916 unchanged
AAEL003917 AAEL003917 unchanged
AAEL003918 AAEL003918 unchanged
AAEL003919 AAEL003919 unchanged
AAEL003920 AAEL003920 changed
AAEL003921 AAEL003921 unchanged
AAEL003922 AAEL003922 unchanged
AAEL003923 AAEL003923 unchanged
AAEL003924 AAEL003924 unchanged
AAEL003925 AAEL003925 unchanged
AAEL003926 AAEL003926 unchanged
AAEL003927 AAEL003927 unchanged
AAEL003928 AAEL003928 unchanged
AAEL003929 AAEL003929 unchanged
AAEL003930 AAEL003930 unchanged
AAEL003931 AAEL003931 unchanged
AAEL003932 AAEL003932 unchanged
AAEL003933 AAEL003933 changed
AAEL003934 AAEL003934 unchanged
AAEL003935 AAEL003935 unchanged
AAEL003936 AAEL003936 unchanged
AAEL003937 AAEL003937 changed
AAEL003938 AAEL003938 unchanged
AAEL003939 AAEL003939 unchanged
AAEL003940 AAEL003940 unchanged
AAEL003941 AAEL003941 unchanged
AAEL003942 AAEL003942 unchanged
AAEL003943 AAEL003943 unchanged
AAEL003944 AAEL003944 unchanged
AAEL003945 AAEL003945 unchanged
AAEL003946 AAEL003946 unchanged
AAEL003947 AAEL003947 unchanged
AAEL003948 AAEL003948 unchanged
AAEL003949 AAEL003949 unchanged
AAEL003950 AAEL003950 unchanged
AAEL003951 AAEL003951 unchanged
AAEL003952 AAEL003952 unchanged
AAEL003953 AAEL003953 unchanged
AAEL003954 AAEL003954 unchanged
AAEL003955 AAEL003955 unchanged
AAEL003956 AAEL003956 unchanged
AAEL003957 AAEL003957 changed
AAEL003958 AAEL003958 unchanged
AAEL003959 AAEL003959 unchanged
AAEL003960 AAEL003960 unchanged
AAEL003961 AAEL003961 unchanged
AAEL003962 AAEL003962 unchanged
AAEL003963 AAEL003963 unchanged
AAEL003964 AAEL003964 unchanged
AAEL003965 AAEL003965 unchanged
AAEL003966 AAEL003966 unchanged
AAEL003967 AAEL003967 unchanged
AAEL003968 AAEL003968 unchanged
AAEL003969 AAEL003969 unchanged
AAEL003970 AAEL003970 unchanged
AAEL003971 AAEL003971 unchanged
AAEL003972 AAEL003972 unchanged
AAEL003973 AAEL003973 unchanged
AAEL003974 AAEL003974 unchanged
AAEL003975 AAEL003975 unchanged
AAEL003976 AAEL003976 unchanged
AAEL003977 AAEL003977 unchanged
AAEL003978 AAEL003978 unchanged
AAEL003979 AAEL003979 unchanged
AAEL003980 AAEL003980 unchanged
AAEL003981 AAEL003981 unchanged
AAEL003982 AAEL003982 unchanged
AAEL003983 AAEL003983 unchanged
AAEL003984 AAEL003984 unchanged
AAEL003985 AAEL003985 unchanged
AAEL003986 AAEL003986 changed
AAEL003987 AAEL003987 unchanged
AAEL003988 AAEL003988 unchanged
AAEL003989 AAEL003989 unchanged
AAEL003990 AAEL003990 unchanged
AAEL003991 AAEL003991 changed
AAEL003992 AAEL003992 unchanged
AAEL003993 AAEL003993 unchanged
AAEL003994 AAEL003994 unchanged
AAEL003995 AAEL003995 unchanged
AAEL003996 AAEL003996 unchanged
AAEL003997 AAEL003997 unchanged
AAEL003998 AAEL003998 unchanged
AAEL003999 AAEL003999 unchanged
AAEL004000 AAEL004000 unchanged
AAEL004001 AAEL004001 unchanged
AAEL004002 AAEL004002 unchanged
AAEL004003 AAEL004003 unchanged
AAEL004004 AAEL004004 unchanged
AAEL004005 AAEL004005 unchanged
AAEL004006 AAEL004006 unchanged
AAEL004007 AAEL004007 unchanged
AAEL004008 AAEL004008 unchanged
AAEL004009 AAEL004009 unchanged
AAEL004010 AAEL004010 changed
AAEL004011 AAEL004011 unchanged
AAEL004012 AAEL004012 changed
AAEL004013 AAEL004013 unchanged
AAEL004014 AAEL004014 unchanged
AAEL004015 AAEL004015 unchanged
AAEL004016 AAEL004016 unchanged
AAEL004017 AAEL004017 unchanged
AAEL004018 AAEL004018 unchanged
AAEL004019 AAEL004019 unchanged
AAEL004020 AAEL004020 unchanged
AAEL004021 AAEL004021 unchanged
AAEL004022 AAEL004022 changed
AAEL004023 AAEL004023 unchanged
AAEL004024 AAEL004024 unchanged
AAEL004025 AAEL004025 unchanged
AAEL004026 AAEL004026 unchanged
AAEL004027 AAEL004027 unchanged
AAEL004028 AAEL004028 unchanged
AAEL004029 AAEL004029 unchanged
AAEL004030 AAEL004030 unchanged
AAEL004031 AAEL004031 unchanged
AAEL004032 AAEL004032 unchanged
AAEL004033 AAEL004033 unchanged
AAEL004034 AAEL004034 unchanged
AAEL004035 AAEL004035 unchanged
AAEL004036 AAEL004036 unchanged
AAEL004037 AAEL004037 unchanged
AAEL004038 AAEL004038 unchanged
AAEL004039 AAEL004039 unchanged
AAEL004040 AAEL004040 unchanged
AAEL004041 AAEL004041 unchanged
AAEL004042 AAEL004042 changed
AAEL004043 AAEL004043 unchanged
AAEL004044 AAEL004044 unchanged
AAEL004045 AAEL004045 unchanged
AAEL004046 AAEL004046 unchanged
AAEL004047 AAEL004047 unchanged
AAEL004048 AAEL004048 unchanged
AAEL004049 AAEL004049 unchanged
AAEL004050 AAEL004050 unchanged
AAEL004051 AAEL004051 unchanged
AAEL004052 AAEL004052 unchanged
AAEL004053 AAEL004053 unchanged
AAEL004054 AAEL004054 changed
AAEL004055 AAEL004055 unchanged
AAEL004056 AAEL004056 unchanged
AAEL004057 AAEL004057 unchanged
AAEL004058 AAEL004058 unchanged
AAEL004059 AAEL004059 unchanged
AAEL004060 AAEL004060 unchanged
AAEL004061 AAEL004061 unchanged
AAEL004062 AAEL004062 unchanged
AAEL004063 AAEL004063 unchanged
AAEL004064 AAEL004064 unchanged
AAEL004065 AAEL004065 unchanged
AAEL004066 AAEL004066 unchanged
AAEL004067 AAEL004067 unchanged
AAEL004068 AAEL004068 unchanged
AAEL004069 AAEL004069 unchanged
AAEL004070 AAEL004070 unchanged
AAEL004071 AAEL004071 unchanged
AAEL004072 AAEL004072 unchanged
AAEL004073 AAEL004073 unchanged
AAEL004074 AAEL004074 unchanged
AAEL004075 AAEL004075 unchanged
AAEL004076 AAEL004076 unchanged
AAEL004077 AAEL004077 unchanged
AAEL004078 AAEL004078 unchanged
AAEL004079 AAEL004079 unchanged
AAEL004080 AAEL004080 unchanged
AAEL004081 AAEL004081 unchanged
AAEL004082 AAEL004082 unchanged
AAEL004083 AAEL004083 unchanged
AAEL004084 AAEL004084 unchanged
AAEL004085 AAEL004085 unchanged
AAEL004086 AAEL004086 unchanged
AAEL004087 AAEL004087 unchanged
AAEL004088 AAEL004088 changed
AAEL004089 AAEL004089 unchanged
AAEL004090 AAEL004090 unchanged
AAEL004091 AAEL004091 unchanged
AAEL004092 AAEL004092 unchanged
AAEL004093 AAEL004093 unchanged
AAEL004094 AAEL004094 unchanged
AAEL004095 AAEL004095 unchanged
AAEL004096 AAEL004096 unchanged
AAEL004097 AAEL004097 unchanged
AAEL004098 AAEL004098 unchanged
AAEL004099 AAEL004099 unchanged
AAEL004100 AAEL004100 unchanged
AAEL004101 AAEL004101 unchanged
AAEL004102 AAEL004102 unchanged
AAEL004103 AAEL004103 unchanged
AAEL004104 AAEL004104 unchanged
AAEL004105 AAEL004105 unchanged
AAEL004106 AAEL004106 unchanged
AAEL004107 AAEL004107 unchanged
AAEL004108 AAEL004108 unchanged
AAEL004109 AAEL004109 unchanged
AAEL004110 AAEL004110 unchanged
AAEL004111 AAEL004111 unchanged
AAEL004112 AAEL004112 changed
AAEL004113 AAEL004113 unchanged
AAEL004114 AAEL004114 unchanged
AAEL004115 AAEL004115 unchanged
AAEL004116 AAEL004116 unchanged
AAEL004117 AAEL004117 unchanged
AAEL004118 AAEL004118 unchanged
AAEL004119 AAEL004119 unchanged
AAEL004120 AAEL004120 unchanged
AAEL004121 AAEL004121 changed
AAEL004122 AAEL004122 unchanged
AAEL004123 AAEL004123 unchanged
AAEL004124 AAEL004124 changed
AAEL004125 AAEL004125 unchanged
AAEL004126 AAEL004126 unchanged
AAEL004127 AAEL004127 unchanged
AAEL004128 AAEL004128 unchanged
AAEL004129 AAEL004129 unchanged
AAEL004130 AAEL004130 unchanged
AAEL004131 AAEL004131 unchanged
AAEL004132 AAEL004132 changed
AAEL004133 AAEL004133 unchanged
AAEL004134 AAEL004134 unchanged
AAEL004135 AAEL004135 unchanged
AAEL004136 AAEL004136 unchanged
AAEL004137 AAEL004137 unchanged
AAEL004138 AAEL004138 unchanged
AAEL004139 AAEL004139 unchanged
AAEL004140 AAEL004140 unchanged
AAEL004141 AAEL004141 unchanged
AAEL004142 AAEL004142 unchanged
AAEL004143 AAEL004143 unchanged
AAEL004144 AAEL004144 unchanged
AAEL004145 AAEL004145 unchanged
AAEL004146 AAEL004146 unchanged
AAEL004147 AAEL004147 unchanged
AAEL004148 AAEL004148 unchanged
AAEL004149 AAEL004149 unchanged
AAEL004150 AAEL004150 unchanged
AAEL004151 AAEL004151 changed
AAEL004152 AAEL004152 unchanged
AAEL004153 AAEL004153 unchanged
AAEL004154 AAEL004154 unchanged
AAEL004155 AAEL004155 unchanged
AAEL004156 AAEL004156 unchanged
AAEL004157 AAEL004157 unchanged
AAEL004158 AAEL004158 unchanged
AAEL004159 AAEL004159 unchanged
AAEL004160 AAEL004160 unchanged
AAEL004161 AAEL004161 unchanged
AAEL004162 AAEL004162 unchanged
AAEL004163 AAEL004163 unchanged
AAEL004164 AAEL004164 unchanged
AAEL004165 AAEL004165 unchanged
AAEL004166 AAEL004166 unchanged
AAEL004167 AAEL004167 unchanged
AAEL004168 AAEL004168 unchanged
AAEL004169 AAEL004169 unchanged
AAEL004170 AAEL004170 unchanged
AAEL004171 AAEL004171 unchanged
AAEL004172 AAEL004172 unchanged
AAEL004173 AAEL004173 unchanged
AAEL004174 AAEL004174 unchanged
AAEL004175 AAEL004175 unchanged
AAEL004176 AAEL004176 changed
AAEL004177 AAEL004177 unchanged
AAEL004178 AAEL004178 unchanged
AAEL004179 AAEL004179 unchanged
AAEL004180 AAEL004180 unchanged
AAEL004181 AAEL004181 unchanged
AAEL004182 AAEL004182 unchanged
AAEL004183 AAEL004183 unchanged
AAEL004184 AAEL004184 unchanged
AAEL004185 AAEL004185 unchanged
AAEL004186 AAEL004186 unchanged
AAEL004187 AAEL004187 unchanged
AAEL004188 AAEL004188 unchanged
AAEL004189 AAEL004189 unchanged
AAEL004190 AAEL004190 unchanged
AAEL004191 AAEL004191 unchanged
AAEL004192 AAEL004192 unchanged
AAEL004193 AAEL004193 unchanged
AAEL004194 AAEL004194 unchanged
AAEL004195 AAEL004195 unchanged
AAEL004196 AAEL004196 changed
AAEL004197 AAEL004197 unchanged
AAEL004198 AAEL004198 unchanged
AAEL004199 AAEL004199 unchanged
AAEL004200 AAEL004200 unchanged
AAEL004201 AAEL004201 unchanged
AAEL004202 AAEL004202 unchanged
AAEL004203 AAEL004203 unchanged
AAEL004204 AAEL004204 unchanged
AAEL004205 AAEL004205 unchanged
AAEL004206 AAEL004206 unchanged
AAEL004207 AAEL015506 changed
AAEL004207 AAEL017260 unchanged
AAEL004207 NULL deleted
AAEL004208 AAEL004208 unchanged
AAEL004209 AAEL004209 unchanged
AAEL004210 AAEL004210 unchanged
AAEL004211 AAEL004211 unchanged
AAEL004212 AAEL004212 unchanged
AAEL004213 AAEL004213 unchanged
AAEL004214 AAEL004214 unchanged
AAEL004215 AAEL004215 unchanged
AAEL004216 AAEL004216 unchanged
AAEL004217 AAEL004217 unchanged
AAEL004218 AAEL004218 changed
AAEL004219 AAEL004219 unchanged
AAEL004220 AAEL004220 unchanged
AAEL004221 AAEL004221 unchanged
AAEL004222 AAEL004222 unchanged
AAEL004223 AAEL004223 changed
AAEL004224 AAEL004224 unchanged
AAEL004225 AAEL004225 unchanged
AAEL004226 AAEL004226 unchanged
AAEL004227 AAEL004227 unchanged
AAEL004228 AAEL004228 unchanged
AAEL004229 AAEL004229 changed
AAEL004230 AAEL004230 changed
AAEL004231 AAEL004231 unchanged
AAEL004232 AAEL004232 unchanged
AAEL004233 AAEL004233 unchanged
AAEL004234 AAEL004234 unchanged
AAEL004235 AAEL004235 unchanged
AAEL004236 AAEL004236 unchanged
AAEL004237 AAEL004237 unchanged
AAEL004238 AAEL004238 unchanged
AAEL004239 AAEL004239 unchanged
AAEL004240 AAEL004240 unchanged
AAEL004241 AAEL004241 unchanged
AAEL004242 AAEL004242 unchanged
AAEL004243 AAEL004243 unchanged
AAEL004244 AAEL004244 unchanged
AAEL004245 AAEL004245 changed
AAEL004246 AAEL004246 unchanged
AAEL004247 AAEL004247 unchanged
AAEL004248 AAEL004248 unchanged
AAEL004249 AAEL004249 unchanged
AAEL004250 AAEL004250 unchanged
AAEL004251 AAEL004251 unchanged
AAEL004252 AAEL004252 unchanged
AAEL004253 AAEL004253 unchanged
AAEL004254 AAEL004254 unchanged
AAEL004255 AAEL004255 unchanged
AAEL004256 AAEL004256 unchanged
AAEL004257 AAEL004257 unchanged
AAEL004258 AAEL004258 unchanged
AAEL004259 AAEL004259 unchanged
AAEL004260 AAEL004260 unchanged
AAEL004261 AAEL004261 unchanged
AAEL004262 AAEL004262 unchanged
AAEL004263 AAEL004263 unchanged
AAEL004264 AAEL004264 unchanged
AAEL004265 AAEL004265 unchanged
AAEL004266 AAEL004266 unchanged
AAEL004267 AAEL004267 unchanged
AAEL004268 AAEL004268 unchanged
AAEL004269 AAEL004269 unchanged
AAEL004270 AAEL004270 unchanged
AAEL004271 AAEL004271 unchanged
AAEL004272 AAEL004272 unchanged
AAEL004273 AAEL004273 unchanged
AAEL004274 AAEL004274 unchanged
AAEL004275 AAEL004275 unchanged
AAEL004276 AAEL004276 unchanged
AAEL004277 AAEL004277 unchanged
